pergunta,resposta,intent
onde é o instituto da criança?,"O Hospital das Clínicas da FMUSP tem diversos institutos. O endereço principal é: Av. Dr. Enéas de Carvalho Aguiar, 255 – Cerqueira César, São Paulo (próximo à estação Clínicas do Metrô – Linha 2 Verde). Alguns institutos importantes: InCor (cardiologia) fica na mesma avenida, nº 44; Instituto da Criança (ICr) fica ao lado do prédio principal; Instituto Central (PAMB) é o maior prédio do complexo. Sempre confira o endereço no seu comprovante de agendamento ou no Portal do Paciente HC para ter certeza do local correto.",localizacao_hc
qual estação de metrô mais próxima do hc?,"O Hospital das Clínicas da FMUSP tem diversos institutos. O endereço principal é: Av. Dr. Enéas de Carvalho Aguiar, 255 – Cerqueira César, São Paulo (próximo à estação Clínicas do Metrô – Linha 2 Verde). Alguns institutos importantes: InCor (cardiologia) fica na mesma avenida, nº 44; Instituto da Criança (ICr) fica ao lado do prédio principal; Instituto Central (PAMB) é o maior prédio do complexo. Sempre confira o endereço no seu comprovante de agendamento ou no Portal do Paciente HC para ter certeza do local correto.",localizacao_hc
me perdi dentro do hospital,"O Hospital das Clínicas da FMUSP tem diversos institutos. O endereço principal é: Av. Dr. Enéas de Carvalho Aguiar, 255 – Cerqueira César, São Paulo (próximo à estação Clínicas do Metrô – Linha 2 Verde). Alguns institutos importantes: InCor (cardiologia) fica na mesma avenida, nº 44; Instituto da Criança (ICr) fica ao lado do prédio principal; Instituto Central (PAMB) é o maior prédio do complexo. Sempre confira o endereço no seu comprovante de agendamento ou no Portal do Paciente HC para ter certeza do local correto.",localizacao_hc
A consulta é de graça?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
Preciso pagar pelo exame?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
O hospital atende pelo SUS?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
quanto custa a consulta?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
o tratamento é gratuito?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
o estacionamento é pago?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
"e os remedios, eu pego de graça?","Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
"se eu precisar de uma protese, o sus cobre?","Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
tem algum custo que o hospital não cobre?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
o atestado medico é cobrado?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
a alimentação ta inclusa na internação?,"Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
"se eu vier de outra cidade, tem ajuda de custo?","Todo atendimento realizado no Hospital das Clínicas pelo Sistema Único de Saúde (SUS) é gratuito para o paciente. Isso inclui consultas, exames, internações e medicamentos fornecidos pelo hospital. Não há cobrança em atendimentos pelo SUS.",custos_sus
preciso fazer preparo para o exame?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
como me preparo para o exame de amanhã?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
tem que fazer jejum?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
quantas horas de jejum para exame de sangue?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
posso beber agua durante o jejum?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
meu remedio de pressão quebra o jejum?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
qual o preparo para endoscopia?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
precisa de preparo para ressonancia magnetica?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
não me deram o papel com as instruções do exame,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
onde eu encontro o preparo do meu exame?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
tenho que tomar algum remedio antes?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
posso vir com qualquer roupa?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
o que acontece se eu não fizer o preparo certo?,"Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
"esqueci de fazer o preparo, perco o exame?","Muitos exames exigem preparo especial, como jejum ou uso de medicações específicas. As orientações para o seu exame estão no comprovante de agendamento, em uma folha de instruções ou disponíveis no Portal do Paciente HC. Caso não tenha recebido ou esteja em dúvida, entre em contato com a central de agendamento do seu instituto. Seguir corretamente o preparo é fundamental para que o exame possa ser realizado.",preparo_exames
